store_id,uptime_last_hour(in minutes),uptime_last_day(in hours),update_last_week(in hours),downtime_last_hour(in minutes),downtime_last_day(in hours),downtime_last_week(in hours)
00017c6a-7a77-4a95-bb2d-40647868aff6,60.00,8.53,58.77,0.00,1.97,16.73
000bba84-20af-4a8b-b68a-368922cc6ad1,0.00,0.00,0.00,60.00,24.00,168.00
003222af-0b64-4f8c-b5c3-d2dc24636f02,60.00,11.25,78.75,0.00,0.00,0.00
00505ad5-7cf5-42f1-a7e4-252e42273e77,60.00,11.69,81.89,0.00,1.80,12.49
0059ffee-d90a-4355-afd3-b14e7030d2a5,60.00,12.74,91.33,0.00,1.24,8.59
006006cb-7763-42bb-af62-0101f6bc2de1,60.00,10.03,72.30,0.00,2.47,17.20
0066c6a3-6a89-40a1-b11f-64526666c771,0.00,0.00,0.00,60.00,15.98,111.88
006c9910-9126-4bb9-b5d8-cd37bc14790b,0.00,0.00,0.00,60.00,24.00,168.00
007257d2-73df-4c35-8a67-859f988b63f0,60.00,13.24,89.77,0.00,2.26,18.73
007a6957-bf78-4062-9a01-b39641f0c126,60.00,9.64,67.58,0.00,2.86,19.92
009c0a31-4856-4f4b-a2a1-a53145db6f45,60.00,13.20,92.25,0.00,0.30,2.24
009e533c-bbc6-4a3f-afda-ae1f9ab5dc87,0.00,0.00,0.00,60.00,10.00,70.00
00bcec56-84f9-4a91-a3b8-c63ba60c69fe,60.00,14.27,100.75,0.00,0.23,0.75
00bfac82-9546-429a-b137-39797e9dbe6c,60.00,8.68,60.85,0.00,2.32,16.15
00d3080b-63b0-46c3-ad41-35ba3e84e922,60.00,13.33,95.42,0.00,0.16,1.08
00e3e0a6-a94a-4abe-8ab7-138e7215993a,60.00,13.41,93.94,0.00,0.07,0.45
00e70d3c-7c2a-4633-b779-797f36f77dda,60.00,8.97,62.84,0.00,2.03,14.16
012c2916-6822-4202-9cc0-a9a20abe3ec4,60.00,12.50,89.50,0.00,0.00,0.00
0130723a-06f8-4377-9170-abe3b932eff8,60.00,11.25,78.75,0.00,0.00,0.00
013ba14b-3518-427a-8130-8379e9ab198c,0.00,0.00,0.00,60.00,11.50,80.50
0143bd74-2221-4765-9064-ce416f00ee6e,0.00,0.00,0.00,60.00,15.50,108.50
0157421c-0a63-4941-a409-37dfe713c8dd,60.00,8.52,79.88,0.00,5.47,20.03
0158621b-c033-47e1-98c0-14be931d7670,60.00,9.86,71.08,0.00,2.64,18.42
01611b02-d799-4a60-840a-38f16fdaf84b,60.00,9.79,70.50,0.00,0.21,1.50
0164431d-ed09-425d-b9fc-0527ea355c6b,60.00,8.87,41.43,0.00,2.13,35.57
0165ef34-3a7d-4e1f-870d-20a63d8fbcb3,60.00,12.14,86.92,0.00,0.86,6.05
01b0e90e-4bbb-4bad-a0d0-fa9f4eae8c82,60.00,17.00,121.00,0.00,0.00,0.00
01b363c7-9360-413f-9d81-560519758d27,0.00,0.00,0.00,60.00,24.00,168.00
01bba31b-d858-4fc2-9768-47b9bc394441,0.00,0.00,0.00,60.00,12.50,117.50
01c792cd-2acb-4dd2-89b3-9f58ee057494,60.00,10.72,75.14,0.00,2.78,19.36
01da0a2e-7341-448d-a66f-920fccd80e37,60.00,9.10,65.79,0.00,2.40,16.71
01dd1a67-9582-4c07-9c47-22990be20152,60.00,9.44,68.14,0.00,1.06,7.36
01e38f5a-0a56-4668-b0d1-9af60bbe4fb5,51.15,5.99,41.99,8.85,2.01,14.01
01ec731b-b8d5-4de7-a557-2d78816129f9,0.00,0.00,0.00,60.00,12.00,85.97
0206379e-d0cb-4afb-95ad-4518d07316de,60.00,11.17,79.93,0.00,2.81,19.98
02118686-3776-481b-89f1-a5cc03884878,60.00,8.15,58.79,0.00,2.35,16.71
021a3c1a-8328-4b6a-96a7-9fecc6975fd0,60.00,10.65,74.54,0.00,0.60,4.21
021d0906-a2c2-4c3d-8920-085fb075879c,0.00,0.00,0.00,60.00,13.50,96.50
021d7a16-0bed-4856-83bc-12cfcf53706b,60.00,10.39,74.76,0.00,2.61,18.21
022ba325-8587-4897-98ff-7ec3ab2882c1,60.00,8.98,62.94,0.00,2.85,19.89
022cd15f-9128-49b1-90e4-5938be627015,60.00,14.46,106.38,0.00,1.29,9.12
0233b870-8996-4137-a1c8-3e4ea98180c9,60.00,8.67,60.80,0.00,1.99,13.87
0243e64c-623b-454f-bb57-e3fda1f46373,60.00,16.80,117.54,0.00,0.20,1.46
0261c842-c16e-4f50-a9d3-04018068f88b,0.00,0.00,0.00,60.00,13.50,96.50
02837d4e-3d98-44ee-8533-1c6821ae5ab8,0.00,0.00,0.00,60.00,24.00,53.00
028611d6-7305-4314-8355-fed01489c446,0.00,0.00,0.00,60.00,13.50,94.50
0291c820-61c0-4677-a883-cc86a5ff35e1,60.00,9.85,69.02,0.00,2.65,18.48
02d16654-0bcf-49e1-9e3a-019555d6795a,60.00,17.00,131.97,0.00,0.00,0.00
02d6a0db-6c3d-4226-9563-5f861681ca30,60.00,8.31,58.26,0.00,2.35,16.41
02d77d60-f220-47ee-bcbe-d6639deee994,60.00,10.15,71.15,0.00,2.35,16.35
02dcc084-0b71-4a95-8781-f2e195aeace6,60.00,14.03,97.88,0.00,2.97,21.12
02e00fcb-db53-4633-aed6-5e964085d9e3,60.00,12.59,90.27,0.00,1.39,9.64
02e3f453-bc00-4f84-a9ce-26f97ec3eacd,0.00,0.00,0.00,60.00,11.50,82.48
02e9a94c-1f23-48b7-b040-f8a9ceae10b8,0.00,0.00,0.00,60.00,8.00,68.00
031543eb-84ff-4d73-a811-b3bb44ac0c79,60.00,8.87,62.19,0.00,2.13,14.81
031782b3-fdfd-44c6-b0f4-c59b2cad6fcb,60.00,10.55,74.09,0.00,2.94,20.30
031901e1-53bc-4bf0-a3b3-527b2f192f9f,0.00,0.00,0.00,60.00,11.50,80.50
03243548-0353-4656-8079-7b2f89245a58,60.00,9.90,69.37,0.00,2.60,18.13
0328b718-040e-4a09-9ea0-3d079d67fd87,0.00,0.00,0.00,60.00,13.25,92.75
0333f5b6-8846-40f7-9d17-6a637f0c93b7,0.00,0.00,0.00,60.00,14.00,100.00
034ce982-3714-44d2-92bd-2ecbb19418f3,60.00,9.79,66.80,0.00,2.71,22.70
034e20db-6a14-485a-810a-f9ca5d80116f,0.00,0.00,0.00,60.00,24.00,1.00
0366438a-d363-479d-89ef-33759e4b0eff,0.00,0.00,0.00,60.00,12.00,84.98
03747da9-40cf-4b33-bec4-d6479751aac1,60.00,12.63,90.14,0.00,0.37,2.82
037ece62-20c9-4af6-9c98-5b1f65224237,60.00,10.23,71.69,0.00,2.27,15.81
0383e8f9-4fe2-4cfa-a4ca-879d6bf62839,60.00,11.36,81.62,0.00,2.62,18.30
03842999-9dd1-4e78-9ba7-cf4fd2ee8d82,60.00,10.45,67.23,0.00,2.38,22.60
03904864-f270-42c1-b993-9710c911509a,60.00,8.77,53.09,0.00,2.56,26.25
03a8d396-bb73-431e-b05d-d30f31af22ea,60.00,11.54,82.89,0.00,2.46,17.11
03d6ef9e-9da3-4c40-81a8-76b698c58af1,60.00,23.98,167.88,0.00,0.00,0.00
03e68343-17dd-4c83-b885-a392ffe1ec29,60.00,8.52,59.72,0.00,2.15,14.95
03edf5ed-e502-47f3-8a4a-2fe6cd05a712,60.00,13.29,92.04,0.00,0.69,6.88
0415b056-3528-4711-a237-77126336b89d,21.84,8.57,63.89,38.16,2.43,13.11
04303893-f2a7-4fc5-b28d-c8479c8cb081,60.00,8.69,60.90,0.00,2.31,16.10
0430dd56-c95b-405b-8fc2-3c4dda8b8367,0.00,0.00,0.00,60.00,11.00,77.00
0439f0ee-e1aa-43d1-b92f-7c4a301dd366,0.00,0.00,0.00,60.00,11.50,80.50
04462056-c979-46a1-bd3b-f1ed1dad404b,60.00,9.68,69.81,0.00,2.82,19.69
044f0666-228e-43a8-ae30-05c01adf6c9c,0.00,0.00,0.00,60.00,17.50,122.50
045d0d07-62dd-41bb-a14f-c36a147131dc,0.00,0.00,0.00,60.00,15.00,107.50
0482449a-75a3-4eb9-bafc-0a47ec179c2d,60.00,8.98,62.93,0.00,2.02,14.07
048b2d55-9b75-4d3c-bdba-d6036879a70a,60.00,16.00,112.00,0.00,0.00,0.00
04dc9f06-c976-4658-8a60-8e3a3fdd2b6e,0.00,0.00,0.00,60.00,10.50,75.50
04f696a6-bb96-44da-83f6-aba3df0db6dd,0.00,0.00,0.00,60.00,24.00,1.00
0509ef68-88a9-4cce-8616-6e5020fa6082,60.00,11.94,85.49,0.00,0.06,0.48
05282852-b122-45ac-84b8-a2c942fb6f51,60.00,9.03,63.29,0.00,1.97,13.71
052cf0ff-4f2a-4dff-855a-660c777d2b69,60.00,7.92,108.50,0.00,0.00,0.00
0546fd35-fb37-4527-97da-072a5c414bfa,60.00,11.48,82.46,0.00,1.52,10.54
0576222f-4d63-43ed-ab35-4a13bbf57d92,60.00,12.50,87.50,0.00,0.00,0.00
058fa7c5-7188-4f3f-887d-5b57961ba6bd,60.00,8.16,58.83,0.00,2.34,16.67
05ba7e4d-7f9a-4e24-9688-d77977f2ef3c,60.00,9.59,45.38,0.00,0.41,26.62
05c494b1-9f50-4e50-b065-7f153e9c9e19,0.00,0.00,0.00,60.00,12.00,84.00
05c68e05-c705-41a7-b69d-e45575fa3203,60.00,8.98,42.14,0.00,2.85,40.70
05e1765c-23c2-4328-b480-720f4eb0216a,60.00,19.03,133.08,0.00,1.31,9.25
05ed635e-3c11-423b-9800-721455624627,0.00,0.00,0.00,60.00,13.00,95.00
05eee01a-d332-4b19-8247-ce97fc1ff841,0.00,0.00,0.00,60.00,13.50,94.50
05f95809-82d2-41ce-a7d9-63c827ff6272,60.00,9.86,71.09,0.00,2.64,18.41
05f9c84d-2aa9-4d8b-a0c6-b6238a7659dd,60.00,9.84,70.96,0.00,2.66,18.54
0625bc76-e197-47be-a81e-07f920acfed1,60.00,13.19,92.34,0.00,0.29,2.04
0635382c-90bb-4fc0-ad07-1fd196e03aab,0.00,0.00,0.00,60.00,15.00,105.00
